ID,bitIn,bitFin,Signed,Power,Scale,Offset,Name
0x1a31,0,1,True,1,0.02,0,IMU_ax
0x1a32,2,3,True,1,0.02,0,IMU_ay
0x1a4,4,5,True,1,0.000349065,0,IMU_yaw_rate
0x171,0,0,True,1,1,0,AMI
0x161,1,1,True,1,1,0,AS_status
0x135,0,1,True,1,0.0298062593145,-70.7302533532,brake_hydr_front
0x136,0,1,True,1,0.0298062593145,-70.7302533532,brake_hydr_rear
0x1371,0,1,True,1,1,0,pneumatic_p1
0x1372,2,3,True,1,1,0,pneumatic_p2
0x18b,6,6,True,1,1,0,RES_range
0x134,0,1,True,1,-0.000031688042484,0.476959989071,extensometer
0x100,0,1,True,1,1,0,fl_inv_status
0x1021,0,3,True,1,0.0001047197551196,0,fl_inv_speed
0x1022,4,5,True,1,0.0098,0,fl_inv_torque
0x104,0,1,True,1,1,0,fr_inv_status
0x1061,0,3,True,1,0.0001047197551196,0,fr_inv_speed
0x1062,4,5,True,1,0.0098,0,fr_inv_torque
0x108,0,1,True,1,1,0,rl_inv_status
0x1101,0,3,True,1,0.0001047197551196,0,rl_inv_speed
0x1102,4,5,True,1,0.0098,0,rl_inv_torque
0x112,0,1,True,1,1,0,rr_inv_status
0x1141,0,3,True,1,0.0001047197551196,0,rr_inv_speed
0x1142,4,5,True,1,0.0098,0,rr_inv_torque
0x1221,0,1,True,1,0.01,0,control_vx
0x1222,2,3,True,1,0.01,0,control_vy
0x1223,4,5,True,1,0.001,0,control_r
0x272,0,0,True,1,1,0,buzzer
